id,namenl,subtitlenl,subtitle2nl,startts,locationid,Klassiek,Populair,Operacursus,Muziekcursus,Familieconcert,Pop_jazz_and_beyond,Mezzo-middag,Pop_Classics,Muziektheater,Jazz,Doelenmenu
41405,Doelenmenu,"Voor meer informatie en voorwaarden, zie www.dedoelen.nl/doelenmenu",,2017-01-05 19:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
41541,Dutch swing college band,LIVE! Nieuwjaarsconcert,,2017-01-05 20:15:00,10137,0,0,0,0,0,0,0,0,0,0,0
41404,Doelenmenu,"Voor meer informatie en voorwaarden, zie www.dedoelen.nl/doelenmenu",,2017-01-06 19:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
41553,Cross-linx 2017,,,2017-03-04 19:00:00,10140,0,1,0,0,0,0,0,0,0,0,0
41803,Nieuwjaarsconcert,Rotterdams Philharmonisch Orkest,,2017-01-06 20:15:00,10135,0,0,0,0,0,0,0,0,0,0,0
41731,Kweksilber op Zaterdag,,,2017-01-07 16:00:00,10137,0,0,0,0,0,0,0,0,0,0,0
41569,Red Sofa Tafelmuziek: diner met David Kweksilber en gasten,7-01-2017 18.00 uur,,2017-01-07 18:00:00,10151,0,0,0,0,0,0,0,0,0,0,0
41403,Doelenmenu,"Voor meer informatie en voorwaarden, zie www.dedoelen.nl/doelenmenu",,2017-01-07 19:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
41320,Finale Prinses Christina Concours West 1,,,2017-02-19 14:00:00,10137,1,0,0,0,0,0,0,0,0,0,0
41801,Mozart en Mendelssohn,Rotterdams Philharmonisch Orkest,,2017-01-08 12:00:00,10167,0,0,0,0,0,0,0,0,0,0,0
41802,Nieuwjaarsconcert,Rotterdams Philharmonisch Orkest,,2017-01-08 14:15:00,10135,0,0,0,0,0,0,0,0,0,0,0
41725,Codarts Symphony Orchestra,Vervlogen tijd verklankt,,2017-05-06 20:00:00,10134,1,0,0,0,0,0,0,0,0,0,0
41402,Doelenmenu,"Voor meer informatie en voorwaarden, zie www.dedoelen.nl/doelenmenu",,2017-01-08 19:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
