"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"                                        
De Leven,Sef,46,['dutch hip hop'],0.606,0.868,11,-7.838,1,0.171,0.114,0,0.37,0.723,93.059
Alles Kapot,Goldband,35,[],0.922,0.558,0,-7.124,1,0.0449,0.0316,0.00165,0.101,0.434,114.961
Hij had het willen zeggen / Waarom nou jij - Live,Tino Martin,51,['dutch pop'],0.333,0.535,2,-8.058,1,0.0599,0.371,0,0.863,0.203,84.099
F NIGHT,CHO,52,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.838,0.684,5,-4.854,0,0.102,0.421,0.000265,0.111,0.702,88.969
Houten Pak,Willem,42,"['dutch hip hop', 'dutch pop']",0.486,0.0747,2,-13.967,1,0.037,0.958,0.0182,0.103,0.125,123.716
Girl (feat. Idaly),Yung Nnelg,53,['dutch hip hop'],0.837,0.558,5,-7.058,0,0.0521,0.123,0.000201,0.301,0.805,104.972
Uno,Bokke8,55,"['dutch drill', 'dutch hip hop', 'dutch urban']",0.665,0.773,6,-4.455,0,0.283,0.651,4.17e-05,0.196,0.829,99.157
Volmaakt,Jayh,52,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.741,0.817,6,-5.742,1,0.0559,0.195,0,0.113,0.666,87.909
By My Side,Blow,48,"['dutch hip hop', 'dutch urban']",0.682,0.606,8,-7.482,1,0.212,0.344,1.88e-05,0.117,0.448,93.888
Wolken,Flinke Namen,50,['dutch hip hop'],0.734,0.463,8,-11.886,1,0.0675,0.185,0.548,0.0864,0.167,94.98
Zin In Jou,Yves Berendse,42,"['carnaval', 'dutch pop']",0.507,0.954,1,-2.976,1,0.076,0.138,0,0.202,0.732,182.891
Mondjekontje,Willie Wartaal,40,['dutch hip hop'],0.759,0.63,10,-8.154,0,0.28,0.0205,0.00404,0.333,0.526,161.939
In De Naam Van,Geechi,52,"['dutch hip hop', 'dutch urban']",0.886,0.63,8,-7.657,1,0.227,0.0575,1.32e-05,0.114,0.595,123.965
Pina/Some More,Henkie T,58,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.705,0.536,4,-7.295,0,0.504,0.0332,0,0.0779,0.384,63.116
Lotgenoot,Winne,45,['dutch hip hop'],0.664,0.713,8,-7.751,1,0.18,0.00792,0,0.317,0.448,81.034
Pull Up,Roxy Rosa,57,['dutch urban'],0.749,0.565,7,-8.088,0,0.0327,0.298,8.95e-05,0.0519,0.888,104.975
Izakaya,Frsh,51,"['dutch hip hop', 'dutch urban']",0.751,0.535,7,-6.375,0,0.053,0.162,0.0112,0.123,0.391,100.038
Mijn Stad,Danny De Munk,49,"['dutch pop', 'dutch rock', 'levenslied']",0.751,0.793,0,-7.047,1,0.062,0.208,0,0.0418,0.698,117.159
Bullshit,Hef,56,['dutch hip hop'],0.814,0.503,7,-7.193,1,0.314,0.258,1.25e-06,0.111,0.33,90.2
