"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo", "city"
Alleen In De W,MC Prak$,23,[],0.643,0.847,7,-4.394,0,0.287,0.521,0,0.258,0.84,168.084,Amsterdam
F NIGHT,CHO,52,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.838,0.684,5,-4.854,0,0.102,0.421,0.000265,0.111,0.702,88.969,Amsterdam
Uno,Bokke8,55,"['dutch drill', 'dutch hip hop', 'dutch urban']",0.665,0.773,6,-4.455,0,0.283,0.651,4.17e-05,0.196,0.829,99.157,Amsterdam
Houten Pak,Willem,41,"['dutch hip hop', 'dutch pop']",0.486,0.0747,2,-13.967,1,0.037,0.958,0.0182,0.103,0.125,123.716,Amsterdam
Girl (feat. Idaly),Yung Nnelg,52,['dutch hip hop'],0.837,0.558,5,-7.058,0,0.0521,0.123,0.000201,0.301,0.805,104.972,Amsterdam
De Leven,Sef,46,['dutch hip hop'],0.606,0.868,11,-7.838,1,0.171,0.114,0,0.37,0.723,93.059,Amsterdam
BLOW (feat. Zefanio),BKO,39,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.623,0.675,6,-5.984,0,0.354,0.252,2.69e-05,0.314,0.339,193.978,Amsterdam
Volmaakt,Jayh,51,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.741,0.817,6,-5.742,1,0.0559,0.195,0,0.113,0.666,87.909,Amsterdam
Pina/Some More,Henkie T,57,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.705,0.536,4,-7.295,0,0.504,0.0332,0,0.0779,0.384,63.116,Amsterdam
Witte Was,Goldband,43,[],0.831,0.74,7,-9.914,1,0.0525,0.0505,0.00236,0.0842,0.387,128.996,Amsterdam
Wolken,Flinke Namen,50,['dutch hip hop'],0.734,0.463,8,-11.886,1,0.0675,0.185,0.548,0.0864,0.167,94.98,Amsterdam
FOTO'S,Mael,47,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.606,0.485,2,-9.233,1,0.706,0.671,0,0.109,0.584,176.426,Amsterdam
Hij had het willen zeggen / Waarom nou jij - Live,Tino Martin,50,['dutch pop'],0.333,0.535,2,-8.058,1,0.0599,0.371,0,0.863,0.203,84.099,Amsterdam
Lotgenoot,Winne,45,['dutch hip hop'],0.664,0.713,8,-7.751,1,0.18,0.00792,0,0.317,0.448,81.034,Amsterdam
Pull Up,Roxy Rosa,47,['dutch urban'],0.742,0.577,7,-7.985,0,0.0335,0.296,4.26e-05,0.0511,0.856,105.044,Amsterdam
Izakaya,Frsh,50,"['dutch hip hop', 'dutch urban']",0.751,0.535,7,-6.375,0,0.053,0.162,0.0112,0.123,0.391,100.038,Amsterdam
