"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"
Blijf True,Kevin,11,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.825,0.409,6,-8.961,0,0.351,0.11,0.000113,0.186,0.601,151.041
Mi Kurason,Tabitha,47,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.791,0.552,0,-6.716,1,0.166,0.511,0.000466,0.0922,0.578,104.873
BUK,ValsBezig,48,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.847,0.578,5,-5.49,0,0.272,0.0893,0,0.0485,0.828,102.073
Dream Girl,Ir Sais,5,"['basshall', 'dutch hip hop', 'dutch pop', 'dutch urban', 'ritmo kombina']",0.687,0.558,2,-6.27,0,0.264,0.266,8.34e-06,0.064,0.442,115.93
GEEN INTERVIEW,CHO,32,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.533,0.545,5,-8.667,0,0.338,0.0336,0,0.385,0.68,159.946
Shutdown,SFB,44,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.89,0.519,0,-5.783,0,0.167,0.0694,2.01e-05,0.119,0.772,107.99
Geekin’,Ronnie Flex,35,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.817,0.615,6,-7.181,0,0.347,0.0624,0,0.392,0.809,161.791
Haal Je Brada,JoeyAK,35,"['dutch hip hop', 'dutch urban']",0.668,0.748,4,-5.74,0,0.236,0.0102,0,0.0817,0.26,98.019
Stop Met Typen,Equalz,55,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.812,0.751,7,-4.373,1,0.241,0.172,0,0.146,0.863,98.66
Knowledge,Esko,36,"['dutch hip hop', 'dutch urban']",0.618,0.443,0,-7.51,1,0.347,0.143,0,0.116,0.173,113.51
#JM,Broederliefde,42,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.852,0.626,2,-7.566,1,0.201,0.00646,1.42e-06,0.0727,0.33,99.972
