"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"
Money = Love,Goldband,30,[],0.897,0.747,9,-8.888,0,0.0462,0.00932,6.2e-05,0.095,0.715,120.058
Waanzin (feat. Siger Van Ramshorst),Don Quichot,37,[],0.747,0.478,7,-11.102,1,0.0645,0.843,0,0.074,0.633,104.915
Springstof,Demarrage,37,[],0.69,0.634,1,-6.256,0,0.0364,0.199,0,0.0627,0.655,138.041
Star Wars,Mario Kartel,35,['dutch hip hop'],0.845,0.745,11,-7.339,1,0.255,0.117,0,0.403,0.796,100.08
Stormvogel,Jungle By Night,39,"['dutch indie', 'dutch rock']",0.624,0.816,8,-6.643,1,0.0342,0.00608,0.89,0.0947,0.885,111.308
Oranje Etiket,Gotu Jim,46,['dutch hip hop'],0.741,0.556,7,-6.904,0,0.113,0.427,0,0.104,0.71,79.043
Een Echte,Faberyayo,38,"['dutch hip hop', 'dutch indie', 'dutch pop']",0.951,0.525,7,-7.548,1,0.047,0.155,4.2e-05,0.327,0.964,99.97
Saône,Elliot Ziegler,39,"['background music', 'calming instrumental', 'focus']",0.426,0.187,5,-20.09,0,0.0445,0.992,0.848,0.105,0.324,113.248
Wittewijnmuziek,De Jeugd Van Tegenwoordig,40,"['dutch hip hop', 'dutch indie', 'dutch pop', 'dutch rock']",0.691,0.593,1,-5.567,1,0.106,0.462,0,0.166,0.368,79.98
Walkman,Kasso,40,[],0.794,0.587,11,-8.223,0,0.0478,0.0718,0.867,0.0272,0.891,112.895
Dan Maar Jij,MEROL,37,['dutch pop'],0.806,0.307,10,-7.368,1,0.113,0.41,0.000702,0.0894,0.709,158.067
Raamuit,Dave Budha,47,"['dutch pop', 'dutch r&b']",0.689,0.425,8,-7.23,1,0.314,0.316,0,0.122,0.371,93.95
Witlof,Fresku,42,['dutch hip hop'],0.878,0.82,1,-3.848,1,0.07,0.000657,0.000306,0.0851,0.674,122.958
Ik Wil Alleen Maar Zwemmen,Spinvis,43,"['dutch indie', 'dutch pop', 'dutch rock']",0.677,0.647,11,-8.849,1,0.0492,0.0936,0.0505,0.0713,0.839,115.007
Surfen,Typhoon,46,"['dutch hip hop', 'dutch indie', 'dutch pop', 'dutch rock']",0.751,0.648,9,-7.003,0,0.105,0.0531,0.128,0.0936,0.724,95.963
Try Again,Chef'Special,48,"['dutch indie', 'dutch pop', 'dutch rock', 'folk-pop']",0.611,0.746,1,-5.349,1,0.0816,0.0553,9.9e-05,0.0907,0.314,86.998
Sorry - (Live in Tivoli),Kyteman,46,"['dutch indie', 'jazz rap']",0.352,0.473,7,-8.935,0,0.0379,0.943,0.398,0.656,0.201,67.865
Woke,LU BACH,46,['dutch pop'],0.701,0.675,9,-4.699,1,0.0997,0.177,0,0.118,0.266,75.038
Nothing - Single Edit,Son Mieux,42,"['dutch indie', 'dutch pop', 'dutch rock', 'folk-pop']",0.515,0.819,9,-5.272,1,0.0445,0.0427,1.92e-05,0.272,0.268,116.971
Dakterras,Swifty Official,46,[],0.825,0.891,9,-6.088,0,0.194,0.743,0,0.192,0.638,100.026
Electric,Go Back To The Zoo,42,"['dutch indie', 'dutch rock']",0.568,0.782,11,-4.556,1,0.0476,0.0677,1.15e-05,0.24,0.479,127.969
Louise,Jett Rebel,43,"['dutch indie', 'dutch pop', 'dutch rock']",0.635,0.785,9,-5.883,1,0.0952,0.0111,0,0.0946,0.511,169.932
