"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"
Bando,KNALLER,0,"['dutch drill', 'dutch hip hop', 'dutch trap']",0.561,0.929,0,-3.281,1,0.368,0.248,0.00358,0.177,0.807,87.652
Ride,Son Mieux,29,"['dutch indie', 'dutch pop', 'dutch rock', 'folk-pop']",0.729,0.947,6,-3.972,0,0.0348,0.264,0.0119,0.327,0.961,129.946
Den Haag,Mula B,38,"['dutch hip hop', 'dutch urban']",0.863,0.703,8,-5.649,1,0.179,0.00883,0,0.0985,0.48,144.987
Leyla,Airr,23,[],0.752,0.826,7,-4.76,1,0.0474,0.52,0.000104,0.203,0.494,105.031
Spijt,Chavanté,33,['dutch urban'],0.682,0.473,2,-10.106,0,0.0605,0.103,0.00578,0.0905,0.543,195.914
Paramaribo,Figo Gang,37,"['dutch hip hop', 'dutch urban']",0.828,0.488,7,-11.744,0,0.0969,0.106,1.84e-05,0.0962,0.629,99.965
Fly Zone,Ir Sais,24,"['basshall', 'dutch hip hop', 'dutch pop', 'dutch urban', 'ritmo kombina']",0.757,0.58,7,-6.058,0,0.154,0.232,0.000235,0.221,0.881,185.019
Dit Is Nederland,Chris Hof,22,[],0.633,0.803,1,-6.253,1,0.0279,0.105,0.000118,0.0373,0.69,126.018
"Chiba's (feat. Ali B, Lijpe & Ismo) - Instrumental",Glades,22,"['dutch hip hop', 'dutch urban', 'rif']",0.776,0.595,6,-6.335,0,0.0601,0.00085,0.834,0.302,0.165,100.018
Ow,Kraantje Pappie,39,"['dutch hip hop', 'dutch pop']",0.644,0.667,6,-7.329,0,0.575,0.372,0,0.105,0.446,86.356
Exploring the Blue,Luka Bloom,47,['irish singer-songwriter'],0.407,0.231,1,-16.323,1,0.0382,0.641,0.341,0.0983,0.113,119.071
I Can't Make You Love Me - Acoustic Sessions,Jacqueline Govaert,43,"['dutch indie', 'dutch pop', 'dutch rock']",0.478,0.211,7,-8.659,0,0.043,0.844,0,0.149,0.305,133.073
We Watched It All Come Down,Nina June,0,"['dutch pop', 'dutch singer-songwriter']",0.605,0.312,9,-13.43,0,0.0422,0.717,0.0122,0.101,0.0621,151.193
Bijna,Eddy Zoëy,30,[],0.627,0.954,7,-4.087,1,0.112,0.0924,0,0.178,0.758,98.66
So They Say,Rukhsana Merrise,17,['indie anthem-folk'],0.546,0.504,7,-10.677,1,0.0936,0.387,0.000223,0.0895,0.247,89.879
Heethoofd,SFB,37,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.717,0.679,4,-6.464,0,0.0421,0.487,0,0.408,0.969,97.402
Feels Like a River (feat. Michael McCrae),Kenn Colt,47,['belgian edm'],0.758,0.755,9,-3.01,1,0.0337,0.131,0,0.662,0.508,111.015
You Might Need Somebody,Turley Richards,52,[],0.727,0.459,9,-8.465,0,0.0241,0.642,2.78e-06,0.247,0.883,82.249
Days of Old,Bente,45,[],0.605,0.462,2,-6.504,1,0.0275,0.325,0.000563,0.09,0.429,73.003
Settle,Jordan Smith,54,['idol'],0.563,0.211,5,-9.352,1,0.0334,0.817,0,0.128,0.283,91.955
