"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"
On my way,Herra,35,[],0.817,0.636,6,-9.468,1,0.0876,0.0957,1.64e-06,0.146,0.686,105.953
Blem Blem,Figo Gang,50,"['dutch hip hop', 'dutch urban']",0.785,0.458,8,-12.774,0,0.314,0.0921,0.000203,0.28,0.636,120.138
Hoor Jij De Vogels Nog Fluiten,Christian Verwoerd,36,"['christelijk', 'world worship']",0.6,0.189,0,-14.614,1,0.0345,0.93,1.59e-06,0.109,0.152,120.095
Nietdoen,Jerra24,42,[],0.733,0.388,2,-12.636,0,0.354,0.325,2.45e-05,0.104,0.249,160.012
Badman,Chavanté,54,['dutch urban'],0.7,0.544,7,-7.965,1,0.157,0.0456,0.000252,0.0717,0.491,107.809
Verboden,KM,53,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.541,0.614,9,-5.979,1,0.0773,0.114,0,0.0499,0.36,103.409
Vlezig,Zoë-Jadha,44,"['dutch hip hop', 'dutch urban']",0.591,0.727,6,-5.895,1,0.214,0.12,0,0.15,0.763,179.863
Wagwan,Nella,46,[],0.772,0.557,1,-11.394,1,0.205,0.424,0.00124,0.142,0.794,151.967
Allang,Tur-G,49,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.663,0.536,11,-6.768,1,0.389,0.0747,0,0.0548,0.807,123.82
Ready,Willa Icey,41,[],0.709,0.382,10,-15.847,0,0.388,0.00963,0,0.0925,0.43,149.853
Bel Kees,JANAKA,38,[],0.725,0.39,2,-17.752,1,0.476,0.265,1.21e-06,0.0963,0.54,140.091
Hey Hallo,Broederliefde,50,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.781,0.743,7,-6.008,0,0.0966,0.0196,0.000152,0.209,0.723,102.015
Verlof,Qlas,52,"['dutch hip hop', 'dutch urban']",0.809,0.819,6,-6.04,1,0.258,0.275,0.0119,0.338,0.617,148.05
Single (feat. CHO & Equalz),Architrackz,51,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.553,0.533,10,-7.596,0,0.216,0.264,0,0.129,0.712,134.147
Gevoel,Dylisa,51,"['dutch pop', 'dutch urban']",0.616,0.565,8,-7.777,1,0.515,0.837,0,0.137,0.859,77.287
Geen Tijd,Bandoo,45,[],0.821,0.456,2,-18.161,1,0.319,0.222,0,0.123,0.769,142.18
Blessings,ValsBezig,57,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.764,0.705,7,-4.93,1,0.223,0.261,0,0.213,0.826,110.154
Ik Zal Er Zijn,Sela,43,"['christelijk', 'world worship']",0.34,0.139,0,-11.623,1,0.0354,0.953,2.18e-06,0.116,0.242,113.432
Kom Tot Me,Priceless,56,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.676,0.543,9,-6.5,1,0.0712,0.477,1.47e-05,0.332,0.845,170.104
