"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"
Life Grows,The Vices,18,['dutch indie rock'],0.58,0.652,4,-9.407,0,0.0378,0.000355,0.00227,0.141,0.438,116.983
Peng,KD,23,[],0.768,0.575,9,-9.888,0,0.536,0.0461,0,0.0838,0.536,143.005
Doe Niet Naar,GP Ne9en7even,31,[],0.889,0.526,0,-10.447,1,0.33,0.441,8.2e-06,0.105,0.814,143.1
Let Go,Quitos,27,[],0.745,0.287,1,-10.456,0,0.425,0.806,0,0.083,0.71,166.107
Thuishaven,El Dorado,34,['doujin'],0.457,0.243,11,-8.977,1,0.0437,0.86,0,0.116,0.459,86.633
Roelfina,Wat Aans!,28,[],0.774,0.724,10,-7.957,0,0.0759,0.37,4.68e-05,0.187,0.547,101.994
2017,Vic Mane,31,[],0.788,0.53,11,-10.282,0,0.0897,0.511,0,0.109,0.445,95.016
Birds Of The Night,Nona,26,"['dutch indie', 'dutch pop', 'dutch rock']",0.413,0.74,1,-4.623,0,0.0364,0.00258,0,0.0712,0.178,171.901
In the Ring,A.M. Sam,27,[],0.762,0.547,1,-8.725,0,0.0439,0.112,0.000667,0.398,0.947,100.013
Naakt Ontbijtje,Moonrider,29,[],0.874,0.578,5,-3.676,1,0.0398,0.721,0,0.171,0.85,130.12
I Celebrate My Fantasy,The Homesick,31,"['dutch indie', 'dutch indie rock']",0.539,0.805,0,-9.733,0,0.0308,0.0531,0.673,0.0823,0.919,169.909
10 Dagen Lang,Bombarie,35,[],0.829,0.568,4,-7.128,1,0.187,0.239,0,0.15,0.631,136.046
Bright Lights,Iguana Death Cult,27,"['dutch indie', 'dutch indie rock', 'dutch rock']",0.478,0.955,0,-3.131,1,0.0529,0.00668,0.0001,0.234,0.72,92.591
Swapfiets,Bandlek,29,[],0.89,0.281,7,-15.893,0,0.0981,0.0846,0.000491,0.066,0.637,120.006
Teal,Meetsysteem,28,['dutch indie'],0.837,0.586,7,-7.642,0,0.0371,0.0799,0.131,0.167,0.97,131.006
Springstof,Demarrage,37,[],0.69,0.634,1,-6.256,0,0.0364,0.199,0,0.0627,0.655,138.041
Big Boys Loan,Queen's Pleasure,18,['dutch indie rock'],0.278,0.96,10,-3.595,1,0.109,0.0291,1.7e-05,0.153,0.281,146.732
Waanzin (feat. Siger Van Ramshorst),Don Quichot,37,[],0.747,0.478,7,-11.102,1,0.0645,0.843,0,0.074,0.633,104.915
t Hoogelaand,Ede Staal,30,['streektaal'],0.411,0.174,3,-25.442,1,0.0446,0.988,0.0291,0.884,0.512,102.742
Black,Joe Buck,35,[],0.43,0.462,11,-6.478,1,0.0284,0.696,1.04e-06,0.0988,0.14,78.742
Oranje Etiket,Gotu Jim,46,['dutch hip hop'],0.741,0.556,7,-6.904,0,0.113,0.427,0,0.104,0.71,79.043
I Wanna Know,Sloper,33,[],0.481,0.8,11,-4.49,1,0.0405,0.000145,0.0265,0.0653,0.286,120.971
Babylon,Thomas Azier,37,"['dutch indie', 'dutch pop']",0.699,0.222,6,-8.139,0,0.0403,0.956,5.72e-06,0.107,0.276,129.857
Witte Was,Goldband,42,[],0.831,0.74,7,-9.914,1,0.0525,0.0505,0.00236,0.0842,0.387,128.996
Is Er Meer Dat Je Wil Dan,Buitengewoon,32,[],0.776,0.666,5,-7.687,0,0.0291,0.0985,0,0.115,0.443,124.039
Star Wars,Mario Kartel,35,['dutch hip hop'],0.845,0.745,11,-7.339,1,0.255,0.117,0,0.403,0.796,100.08
Dakterras,Swifty Official,28,[],0.866,0.733,9,-11.686,0,0.244,0.485,0,0.175,0.589,100.001
Dan Maar Jij,MEROL,37,['dutch pop'],0.806,0.307,10,-7.368,1,0.113,0.41,0.000702,0.0894,0.709,158.067
Beetje Floes,Ome Omar,41,['dutch hip hop'],0.91,0.39,11,-8.629,1,0.168,0.243,1.02e-05,0.279,0.698,89.973
Survivor,Jan Verstraeten,34,['belgian indie'],0.687,0.127,6,-14.459,1,0.0606,0.607,0.000103,0.111,0.31,139.754
Take From Me,Áslaug,39,[],0.344,0.295,6,-12.309,1,0.0817,0.754,0,0.0865,0.111,175.717
Pak Je Tas,Kraantje Pappie,36,"['dutch hip hop', 'dutch pop']",0.766,0.785,9,-4.558,0,0.221,0.0901,1.65e-05,0.145,0.754,90.053
Julie,Chef'Special,35,"['dutch indie', 'dutch pop', 'dutch rock', 'folk-pop']",0.706,0.768,8,-5.55,1,0.224,0.0212,0,0.141,0.897,77.983
Raamuit,Dave Budha,47,"['dutch pop', 'dutch r&b']",0.689,0.425,8,-7.23,1,0.314,0.316,0,0.122,0.371,93.95
Soms Is Het Te Laat,WIES,46,"['dutch indie', 'dutch pop']",0.565,0.49,6,-6.803,0,0.0278,0.0312,8.11e-06,0.316,0.543,104.978
Nog Heel Even,Wander,35,['dutch pop'],0.785,0.443,7,-7.575,1,0.0381,0.112,0,0.35,0.818,100.993
Mary Jane,Judy Blank,33,"['dutch americana', 'dutch indie', 'dutch pop', 'dutch singer-songwriter']",0.635,0.733,4,-5.0,1,0.0991,0.324,0,0.112,0.821,82.625
Unstoppable,Lövestad,37,[],0.818,0.439,9,-11.026,0,0.0542,0.0973,0.739,0.0969,0.575,124.0
Hiding,Son Mieux,35,"['dutch indie', 'dutch pop', 'dutch rock', 'folk-pop']",0.604,0.741,6,-4.049,1,0.0269,0.0398,0,0.0612,0.563,78.492
Bang Voor Water,Marco Borsato,41,"['dutch cabaret', 'dutch pop', 'dutch rock']",0.72,0.739,8,-6.973,1,0.0409,0.0889,0,0.073,0.852,98.851
damage :(,Naaz,44,['dutch pop'],0.693,0.478,2,-6.518,0,0.196,0.154,0,0.101,0.404,127.133
Onze Schuilplaats Is God,Mozaiek Worship,40,"['christelijk', 'world worship']",0.423,0.623,5,-7.025,1,0.0311,0.25,1.36e-05,0.196,0.283,163.933
