"name", "artist", "popularity", "genres", "danceability", "energy", "key", "loudness","mode", "speechiness", "acousticness", "instrumentalness", "liveness", "valence", "tempo","city", "date", "venue"
1 Affoe X 2,Yung Internet,44,['dutch hip hop'],0.958,0.479,10,-9.134,0,0.272,0.167,5.59e-05,0.326,0.688,128.984,Rotterdam,2020-02-07,Rotown
Tram 26,Yung Internet,42,['dutch hip hop'],0.659,0.449,11,-5.89,1,0.514,0.756,0.196,0.147,0.412,170.236,Rotterdam,2020-02-07,Rotown
Ik Zag Je,Yung Internet,39,['dutch hip hop'],0.898,0.405,4,-9.595,1,0.0765,0.0638,0.132,0.1,0.393,119.989,Rotterdam,2020-02-07,Rotown
Anderhalve Liter,Yung Internet,37,['dutch hip hop'],0.894,0.613,10,-7.415,1,0.044,0.0648,0.184,0.126,0.504,127.989,Rotterdam,2020-02-07,Rotown
Superchimi,Yung Internet,36,['dutch hip hop'],0.789,0.484,10,-8.67,0,0.374,0.117,0.00013,0.0922,0.166,79.996,Rotterdam,2020-02-07,Rotown
Mine Own King Am I / Joel,Eric Vloeimans,34,"['dutch jazz', 'jazz brass']",0.175,0.0399,9,-19.371,0,0.044,0.946,0.797,0.12,0.058,119.307,Rotterdam,2020-02-07,LantarenVenster
Ban Blijet,KYTECRASH,22,"['dutch jazz', 'jazz brass']",0.403,0.441,9,-13.901,1,0.0454,0.22,0.0319,0.0713,0.489,149.924,Rotterdam,2020-02-07,LantarenVenster
Orbit,Eric Vloeimans,21,"['dutch jazz', 'jazz brass']",0.162,0.0592,4,-17.727,0,0.039,0.989,0.889,0.115,0.162,69.602,Rotterdam,2020-02-07,LantarenVenster
If You Are Here,Eric Vloeimans,21,"['dutch jazz', 'jazz brass']",0.204,0.1,1,-13.884,0,0.0407,0.991,0.885,0.113,0.19,50.48,Rotterdam,2020-02-07,LantarenVenster
Sojourner,KYTECRASH,20,"['dutch jazz', 'jazz brass']",0.37,0.336,0,-16.783,0,0.0291,0.519,0.927,0.124,0.594,149.082,Rotterdam,2020-02-07,LantarenVenster
Party Animals - Live,Eric Vloeimans' Gatecrash,35,['dutch jazz'],0.571,0.578,7,-10.432,0,0.032,0.0714,0.812,0.126,0.636,98.163,Rotterdam,2020-02-07,LantarenVenster
Airchair - Live,Eric Vloeimans' Gatecrash,20,['dutch jazz'],0.377,0.482,0,-10.089,1,0.0309,0.107,0.905,0.108,0.157,81.541,Rotterdam,2020-02-07,LantarenVenster
Thunderbirds - Live,Eric Vloeimans' Gatecrash,17,['dutch jazz'],0.515,0.306,0,-15.656,1,0.038,0.445,0.777,0.0654,0.68,114.058,Rotterdam,2020-02-07,LantarenVenster
Song for Syria - Live,Eric Vloeimans' Gatecrash,16,['dutch jazz'],0.416,0.164,0,-13.651,1,0.0349,0.525,0.882,0.117,0.0789,130.982,Rotterdam,2020-02-07,LantarenVenster
Entropy - Live,Eric Vloeimans' Gatecrash,15,['dutch jazz'],0.299,0.748,7,-9.919,0,0.0469,0.284,0.891,0.113,0.56,175.996,Rotterdam,2020-02-07,LantarenVenster
