"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"
Fauré: Requiem (Sanctus) - Faultline Rework,Gabriel Fauré,38,orchestra,0.257,0.298,8,-17.193,1,0.0519,0.178,0.892,0.0943,0.0554,170.082
"Pavane, Op.50",Gabriel Fauré,32,orchestra,0.137,0.0326,6,-29.102,0,0.0379,0.928,0.916,0.162,0.0755,82.806
L'Apprenti sorcier,Paul Dukas,19,orchestra,0.465,0.26,5,-22.257,0,0.0448,0.931,0.878,0.139,0.654,95.607
"La traviata / Act 2: ""Di Provenza il mar, il suol""",Giuseppe Verdi,23,orchestra,0.186,0.168,1,-17.739,1,0.0461,0.984,0.0506,0.0921,0.111,75.96
"Pelléas et Mélisande, Op.80: 4. Sicilienne",Gabriel Fauré,21,orchestra,0.105,0.046,7,-28.136,0,0.0473,0.963,0.968,0.104,0.0536,171.953
"Rhapsody On a Theme of Paganini, Op. 43: V. Variation XVIII",Sergei Rachmaninoff,55,"classical performance, orchestral performance",0.123,0.0386,1,-25.577,1,0.0374,0.968,0.939,0.0865,0.0573,174.824
"Prelude a l'apres-midi d'un faune, L. 86",Claude Debussy,43,"classical performance, orchestral performance",0.0709,0.0155,1,-32.939,1,0.0435,0.949,0.785,0.0924,0.0315,76.646
"The Nutcracker, Op.71, TH.14 / Act 2: No. 12b Coffee (Arabian Dance)",Pyotr Ilyich Tchaikovsky,42,"classical performance, orchestral performance",0.156,0.00709,7,-34.153,0,0.0382,0.941,0.799,0.0986,0.041,97.925
Cavalleria rusticana: Intermezzo,Pietro Mascagni,28,"classical performance, orchestral performance",0.15,0.235,5,-16.237,1,0.0395,0.727,0.9,0.223,0.0505,73.979
"Rachmaninov: Piano Concerto No. 3 in D Minor, Op. 30: II. Intermezzo",Sergei Rachmaninoff,39,"classical performance, orchestral performance",0.133,0.0426,5,-27.609,0,0.0372,0.988,0.881,0.369,0.0358,80.867
Guillaume Tell (William Tell): Overture (arr. F. Wrede for 2 pianos 8 hands): Andante -,Gioachino Rossini,51,"classical, italian opera",0.414,0.0187,7,-39.385,1,0.0557,0.991,0.892,0.0513,0.195,74.477
Il barbiere di Siviglia: Overture (Sinfonia),Gioachino Rossini,50,"classical, italian opera",0.322,0.14,4,-20.747,1,0.0489,0.906,0.759,0.125,0.285,92.122
