zipcodes_rotterdam$city,zipcodes_rotterdam$zip,lon,lat
ROTTERDAM,3042EM,4.436107,51.93501879999999
ROTTERDAM,3024EN,4.4630249,51.9031526
ROTTERDAM,3054VK,4.4948423,51.96276899999999
ROTTERDAM,3079KA,4.5568797,51.8820737
ROTTERDAM,3043 LD,4.4451237,51.9356757
ROTTERDAM,3023 AM,4.4539021,51.9170131
ROTTERDAM,3014AM,4.4674268,51.9202568
ROTTERDAM,3055LE,4.4983597,51.9585529
ROTTERDAM,3061AH,4.5062454,51.9288957
ROTTERDAM,3037EC,4.479278,51.9395039
ROTTERDAM,3082XW,4.468597400000001,51.8885896
ROTTERDAM,3011VZ,4.4844786,51.91664069999999
ROTTERDAM,3062GB,4.5186747,51.925995
ROTTERDAM,3059VD,4.5869491,51.9708473
ROTTERDAM,3021CM,4.4567837,51.9189506
ROTTERDAM,3011 XW,4.488116199999999,51.917181
ROTTERDAM,3033 HJ,4.4644077,51.9256983
ROTTERDAM,3014HA,4.4654718,51.9149292
ROTTERDAM,3014 TL,4.4668822,51.9170346
ROTTERDAM,3025HE,4.4473867,51.90535670000001
ROTTERDAM,3000CV,4.4777326,51.9244201
ROTTERDAM,3062SE,4.527286699999999,51.9219325
ROTTERDAM,3054KW,4.4801097,51.95809
ROTTERDAM,3086AK,4.4723599,51.8778683
ROTTERDAM,3055 HJ,4.5076076,51.9610584
ROTTERDAM,3014RM,4.4674089,51.9161578
ROTTERDAM,3069VM,4.5411011,51.9618704
ROTTERDAM,3033EJ,4.4692712,51.92675209999999
ROTTERDAM,3067CB,4.5500681,51.9421506
ROTTERDAM,3087ED,4.462216,51.8972676
ROTTERDAM,3033 BD,4.4722616,51.9291215
ROTTERDAM,3001AL,4.4777326,51.9244201
ROTTERDAM,3000 DR,4.4777326,51.9244201
ROTTERDAM,3037CC,4.4762465,51.93911199999999
ROTTERDAM,3066TL,4.5541348,51.933038
ROTTERDAM,3055 AC,4.4975613,51.9577289
ROTTERDAM,3067KD,4.5390615,51.9442919
ROTTERDAM,3045 BK,4.4776864,51.9198823
ROTTERDAM,3065SC,4.550348899999999,51.9216135
ROTTERDAM,3015ED,4.4685325,51.9138116
ROTTERDAM,3011AS,4.482717,51.9218317
ROTTERDAM,3082KN,4.4653748,51.8870542
ROTTERDAM,3013AL,4.4717522,51.9234367
ROTTERDAM,3026HE,4.4398271,51.91514770000001
ROTTERDAM,3032GB,4.482012399999999,51.92650039999999
ROTTERDAM,3033XD,4.464392699999999,51.9264263
ROTTERDAM,3054WE,4.489825199999999,51.9648072
ROTTERDAM,3062 EH,4.5141341,51.92623099999999
ROTTERDAM,3055KB,4.5110063,51.9583872
ROTTERDAM,3038JL,4.4684257,51.93539269999999
ROTTERDAM,3063KM,4.5244614,51.90780849999999
ROTTERDAM,3032 BD,4.481697899999999,51.9291227
ROTTERDAM,3062RA,4.522199,51.9211581
ROTTERDAM,3055 SJ,4.509835799999999,51.9609582
ROTTERDAM,3011 XZ,4.4859179,51.9137214
ROTTERDAM,3054 VG,4.4922542,51.967783
ROTTERDAM,3037 GM,4.4702665,51.9356857
ROTTERDAM,3053ZR,4.4712258,51.96423230000001
ROTTERDAM,3022GJ,4.4461531,51.91985469999999
ROTTERDAM,3062HB,4.519667,51.9273146
ROTTERDAM,3033HG,4.4637022,51.9260703
